INFO 2025-06-03 07:14:36,197 autoreload 10636 8668 Watching for file changes with StatReloader
WARNING 2025-06-03 07:22:56,165 log 10636 7528 Forbidden: /api/token/
WARNING 2025-06-03 07:22:56,166 basehttp 10636 7528 "POST /api/token/ HTTP/1.1" 403 68
WARNING 2025-06-03 07:22:56,716 log 10636 7528 Forbidden: /api/token/
WARNING 2025-06-03 07:22:56,716 basehttp 10636 7528 "POST /api/token/ HTTP/1.1" 403 68
WARNING 2025-06-03 07:22:56,900 log 10636 7528 Forbidden: /api/token/
WARNING 2025-06-03 07:22:56,901 basehttp 10636 7528 "POST /api/token/ HTTP/1.1" 403 68
WARNING 2025-06-03 07:22:57,076 log 10636 7528 Forbidden: /api/token/
WARNING 2025-06-03 07:22:57,077 basehttp 10636 7528 "POST /api/token/ HTTP/1.1" 403 68
WARNING 2025-06-03 07:22:57,708 log 10636 7528 Forbidden: /api/token/
WARNING 2025-06-03 07:22:57,709 basehttp 10636 7528 "POST /api/token/ HTTP/1.1" 403 68
WARNING 2025-06-03 07:22:57,884 log 10636 7528 Forbidden: /api/token/
WARNING 2025-06-03 07:22:57,885 basehttp 10636 7528 "POST /api/token/ HTTP/1.1" 403 68
WARNING 2025-06-03 07:23:02,188 log 10636 7528 Forbidden: /api/token/
WARNING 2025-06-03 07:23:02,189 basehttp 10636 7528 "POST /api/token/ HTTP/1.1" 403 68
WARNING 2025-06-03 07:23:02,396 log 10636 7528 Forbidden: /api/token/
WARNING 2025-06-03 07:23:02,397 basehttp 10636 7528 "POST /api/token/ HTTP/1.1" 403 68
WARNING 2025-06-03 07:23:02,563 log 10636 7528 Forbidden: /api/token/
WARNING 2025-06-03 07:23:02,564 basehttp 10636 7528 "POST /api/token/ HTTP/1.1" 403 68
WARNING 2025-06-03 07:23:12,060 log 10636 7528 Forbidden: /api/token/
WARNING 2025-06-03 07:23:12,061 basehttp 10636 7528 "POST /api/token/ HTTP/1.1" 403 68
WARNING 2025-06-03 07:23:12,244 log 10636 7528 Forbidden: /api/token/
WARNING 2025-06-03 07:23:12,244 basehttp 10636 7528 "POST /api/token/ HTTP/1.1" 403 68
WARNING 2025-06-03 07:23:12,444 log 10636 7528 Forbidden: /api/token/
